cancer有啲都有得医嘅	有些癌症还是可以治的
而家啲嘢咁贵，食餐饭闲闲哋都要三几百蚊喇	现在东西那么贵，上一次馆子也得300来块钱
而家啲嘢成日都改嘅，见步行步算嘞	现在的安排经常改动，只能看着办吧
而家啲学生哥好少出嚟做暑期工	现在的学生很少出来干暑假短工的
而家啲床好多都冇床下底	现在的床有好多床底下没留空间
而家啲后生仔，好少唔去秘捞	现在的年轻人，很少不秘密兼职的
而家啲后生，着到古灵精怪敢噉	现在的年青人穿得稀奇古怪的
而家啲父母唔会生咁多个㗎喇	现在的父母不会生这么多孩子的了
而家啲细路讲嘢都好老积	现在的小孩说话都挺老成的
而家啲细路读书好辛苦	现在的孩子上学念书也挺累的
而家外便落好大雨	现在外面下很大雨
而家天时旱，抽水机好有用	现在天旱，抽水机很有用
而家女权越嚟越受重视，你咁做因住畀人话你性别歧视呀	如今妇女的权利越来越受到重视，你这样做小心让别人说你是性别歧视
而家好晏喇，我哋走喇！	已经很晚了，我们走了！
而家少人着唐装嘞	现在很少人穿中装了
而家几多点呀？	现在几点了？
而家几点钟？	现在几点钟？
而家得翻我喺屋企	现在只留下我在家里
而家得翻我喺房	现在只留下我在房间里
而家我哋工人自己话事	现在我们工人自己作主
而家时局立立乱	现在时局乱糟糟的
而家有冇争人钱呀？	现在有没有欠债？
而家有晒证据啦，唔到你唔信	现在有证据了，由不得你不信
而家沓正三点	现在是三点整
而家生老病死都有得照顾，真系安乐晒啰	现在生老病死都有照顾，真是够满足的了
而家用电话都可以影相，又几盏㖞	现在用电话都可以拍照，真有意思
而家真系好夜嘞，我要瞓嘞	现在真的很晚了，我要睡了
而家经已洗湿个头咯，点收到手呀？	现在已经干开了，怎么罢得了手？
而家线路正忙，请等阵再拨	现在线路正忙，请稍后再拨
而家翻工啦	现在去上班啦
而家老人真叹	现在老年人真享福
而家至嚟，早就过钟咯	现在才来，早就过了点了
而家至嚟，蚊瞓喇	现在才来，太晚了
而家落紧雨，出街要带遮	现在正下着雨，上街要带伞
而家要揾份工，冇个学位乜都假	如今要找工作，没有一个学位就什么办法也没有
而家谂翻，好似发咗场梦	现在想起来，好像做了一场梦
而家谂起都有啲反胃	现在想起来也有点恶心
而家讲嘢兴无厘头，好惹笑	现在人们喜欢把话变着说，引人发笑
而家读完书	现在毕业了
而家话唔埋，睇嚟凑啦	现在说不定，到时再说吧
而家轮到我呀	现在轮到我了
而家办公室全部自动化喇，唔学电脑唔得	现在办公室全部自动化了，不学电脑不行
而家都仲有	现在也还有
而家都仲未整完	现在也还没弄好
而家都未迟	现在还不晚
而家点算呀？	现在怎么办？
耐不耐睇次戏	时不时看一次戏
耐唔中有一次	偶尔有一次
耐唔中都有去吓	隔一段时间也会去去的
耐唔耐要畀钱过老妈子	隔一段时间就要给老母亲一些钱
耐过头喇	太久了
耳仔生得软，有时畀人棍到	耳根太软，有时会让人欺骗
闻到一朕味	闻到一股气味
听上去好好	听起来很棒
听人话食橙会惹痰㗎	听说吃橙子会生痰的
听佢噉讲，我简直一头雾水	听他这么说，我简直摸不着头脑
听佢讲嘢就知佢冇料	听他说话就知道他没有学问
听佢讲嘢，个个都笑到碌地	听他说话，一个个都笑得满地打滚
听佢讲话老板会加我哋人工，其实系流料嚟嘅	听他说老板要给我们提工资，其实是假消息
听到佢呢句话，我真系好心凉	听到他这句话，我真的很痛快
听到佢话迟到要罚钱，个个都妈妈声	一听他说迟到要罚钱，大家就骂起娘来了
听到呢个消息，通城都欢呼起嚟	听到这个消息，全城都欢呼起来
听到呢单新闻我起晒鸡皮，点解会有啲咁牙烟嘅嘢㗎？	听到这条新闻我直起鸡皮疙瘩，怎么会有这样危险的事啊？
听吓人讲，唔好咁硬颈啦！	听一下别人的话，别那么固执吧！
听咗阿爷说话，谂通咗啲嘢	听了爷爷的话，一些事情想通了
听唔听到呀？	听见没有啊？
听完报告跟住讨论	听完报告接着讨论
听得多就厌晒咯	听多了就腻了
听日再倾啦，拜拜	明天再谈，再见
听日去旅行，我惊住瞓过笼	明天去旅行，我担心睡过头了
听日去游水，大家赞唔赞成？	明天去游泳，大家赞成不赞成？
听日又要翻学啦	明天又要上学了
听日唔会落雨啩	看起来明天不会下雨吧
听日会好天	明天会天气晴
听日船埋头就要落货	明天船到就要卸货
听日要交报告，今晚又要搏杀嘞	明天要交报告，今天晚上又得拼命了
听日见大人物，要揾翻件饮衫出嚟着至得	明天要见大人物，要找件漂亮衣服穿上才行
听日请你大擦一餐	明天请你大吃一顿
听日请你试吓我啲手势	明天请你试试我的手艺
听晚个舞会你可唔可以做我嘅拍乸？	明晚的舞会你能不能当我的舞伴？
听晚去逛公园点睇吖？	明天晚上逛公园怎么样？
听晚又要同佢食饭	明天再跟他吃饭
听暇佢唔肯呢？	要是他不愿意呢？
听暇佢嚟唔切去点算呀	万一他来不及去怎么办
听暇嚟啦	过一会儿来吧
听朝早请你饮早茶，好嘛？	明天早上我请你喝早茶，好吗？
听落都唔错㖞	听起来还不错
听话啲啦，唔好咁曳	听话点，不要淘气
听讲亚嫲嘅病好好多嘞，我先安乐啲	听说奶奶的病好很多了，我才安心点儿
听讲你手艺唔错，几时请我哋去品嚐吓呀	听说你手艺不错，哪天请我们尝尝
听讲佢去咗北京	听说他去了北京
听讲嗰件事少少阻滞	听说那件事有一点麻烦
听讲广州有好多新嘅游乐场，有边度值得去睇吓㗎？	听说广州有很多新的游乐场，有哪些地方值得去看看？
听讲广东嘅小食都系饮早茶嗰阵时食㗎	据说广东的小吃都在喝早茶时吃
听讲话佢屋企有只正牌北京狗噃	据说他家里有一只正宗的狮子狗
听讲话系谂住由最迟被雇佣嘅开始	听说是打算从最晚被雇佣的开始
听讲韩国人结婚做人情系做好多	听说韩国人结婚送礼金会送很多
听起身好似好癐	那听起来好像很累
听音乐专心啲啦，头拧拧噉做乜呀	听音乐要集中精神，东张西望的干什么呀
肉好实	肌肉很结实
肉赤都要嘅喇	心疼也只好算了
肚饿，我想食蒲飞	肚子饿，我想吃自助餐
肥仔食得瞓得，梗系肥啦	小胖子能吃能睡，肯定胖啦
肥老张，去边度吖？	张胖子，上哪儿啊？
肯去啦吗？	肯去了吧？
肯去啦嘛？	肯去了吧？
背后讲人哋会乞人憎㗎	背后议论人家会令人讨厌的
背默梗系难过读默喇	默写当然比听写难啦
胡胡混混又一年	庸庸碌碌地又过了一年
胡胡混混噉又过咗半世嘞	庸庸碌碌地也过了半辈子
胡胡混混噉又过咗半世嘞	庸庸碌碌地也过了半辈子
膊头度生咗个大疮	肩膀上长了一个大脓包
膝头哥跌到瘀咗	膝盖摔得出瘀血了
胆生石好难医㗎	胆结石很难治的呀
自己人，使乜咁客气？	自己人，何必这么客气？
自己友，唔使查喇	自己人，不用检查了吧
自己友，大家抵谂啲啦	自己人，大家都忍让点吧
自己唔啱仲兼闹人	自己不对，而且还骂人
自己嘟手，唔好使人	自己动手，不要使唤别人
自己应该有主见，唔能够成日执人口水溦	自己应有主见，不能老是人云亦云
自己买餸煮饭食比出街食悭翻几十蚊	自己买菜做饭比到餐厅吃省了几十块
至到嗰层你就唔使忧嘅	至于那一点你就不用担心
至到我走，佢都重未嚟	到我走的时候，他还没有来
至到过年嘅时候	到过年的时候
至嘈就系嗰个市场喇	最吵闹就是那个市场了
至多呢次唔去	大不了这次不去
至多赔翻畀佢	大不了赔给他
至好你去	你去最好
至好噉做	最好这样做
至憎啲湿湆湆嘅天气㗎啦！	最讨厌湿漉漉的天气！
至难搞系呢个问题喇	最难办是这个问题了
舂到佢蓉晒	把它捣得稀巴烂
舂咗佢一拳	杵了他一拳
旧年佢哋去过美国	去年他们去过美国
旧年嘅收成仲好	去年的收成更好
旧底呢度系瓦渣岗	从前这里是瓦砾堆
旧时佢去乞过	过去他讨过饭
旧时呢度乜嘢鬼五马六嘅人都有	过去这里什么乌七八糟的人都有
旧时呢度好多鬼五马六嘅人	过去这里很多乌七八糟的人
旧时啲生活咁艰难，真系难顶咯！	从前那种生活那么困难，真是难熬了！
旧社会穷人要挨饥抵饿	旧社会穷人要忍饥挨饿
铺头冧档咗	店铺倒闭了
芝麻好细粒嘅	芝麻很小
花都耷晒落嚟	这些花都蔫了
芳莹正一孤寒鬼嚟，次次去亲街都要人地同佢出埋钱	芳莹很吝啬的，每次外出都要别人替她付钱
若果唔炒吓更嚟帮补吓，净靠两份人工边得呀？	如果不做点业余职业，弄点收入来补贴一下，光靠两份工资怎么行呢？
若果赶唔切上机就弊喇！	如果误了飞机就糟了！
苦瓜噉面	像苦瓜似的脸，比喩愁眉苦脸
英文我唔多唔少识啲啦！	英文我或多或少懂一点吧！
茶餐厅啲嘢够平	茶餐厅的食物挺便宜的
菜叶瘀咗就会烂	菜叶擦伤了就会变烂
菠菜灼吓就食得	菠菜在开水中略煮一下就可以吃
万一你听到乜嘢消息嘅话，话畀我知	如果你听到什么消息的话，告诉我
万事好商量，你唔使咁劳气	什么事都好商量，你用不着发这么大的火儿！
万零蚊唔系好贵	一万来块不算很贵
落力啲吖	用力一点啊
落力啲，唔好做衰仔啊	起点儿劲儿，别那么行为令人反感
落咁多盐，咸到揦脷	下这么多盐，咸得难受
落咗一场过云雨	下了一场阵雨
落咗场雨，啲豆就即刻标芽	下了一场雨，豆子就马上出芽了
落啲芝麻仲香呀	放点儿芝麻会更香
落少味精	少放点味精
落晒班㗎喇	大家已经下班了
落楼买樽汽水	到楼下买瓶汽水去
落糖落得多得滞，成煲红豆沙甜到唔食得	糖放得太多了，整锅红豆沙甜得不能吃
落街同我买啲嘢	到街上替我买点东西
落亲雨就水浸	一下雨就积水
落车后行翻转头，左转就达	下车后往回走，向左拐
落雨之嘛，一于当佢冇到	不就是下雨吗？咱不管它
落雨喇，快收衫喇	下雨了，快把衣服收起来
落雨啰！	下雨啦！
落雨溦啫，唔紧要	下毛毛雨，不要紧
落雨溦都会淋湿身㗎	下毛毛雨也会淋湿的
落雨湿湆湆喐都唔想喐	下雨湿漉漉的动也不想动
落雨丝湿揸车认真要小心	天雨路滑开车要格外小心
落雨卖遮，天热卖扇，你都几识捞	下雨天卖伞，大热天卖扇子，你挺会挣钱的嘛
落盐落得多过笼，好咸	盐放得太多了，很咸
着件噉嘅衫，唔怕丑死鬼	穿这样的衣服，不怕丢人现眼！
着住件老西点跑步呀？	穿着这件西服怎么跑步啊？
着住牛记出街	穿着牛仔裤上街
着咁大件棉衲，有啲挜拃	穿那么大的棉袄，有点臃肿
着咁少衫好易冻亲	衣服穿那么少很容易着凉
着咗件新棉衲，暖粒粒噉	穿了件新棉袄，暖暖和和的
着多件衫至好	多穿一件衣服才行
着大褛啱啲	穿大衣比较合适
着成古灵精怪噉，太肉酸喇	打扮得古古怪怪，太难看了
着翻件衫吖	穿上衣服啊
着起件军褛真够架势	穿起一件军大衣真够威风
着起呢套军服几醒	穿起这套军服多神气
着起套西装几有型噃！	穿起西服来挺有派头的！
着起套军装几醒	穿起军服多神气
董事会已经决定咗撤佢职，而家件事硬晒軚啦	董事会已经决定撤他的职务，现在事情已经没有转圜的余地了
蒸鱼好快熟，因住咁上下时间就得啦	蒸鱼很快熟，估摸着差不多时间就行了
蔗汁真系好饮	甘蔗汁真好喝
蔡生坐亲巴士都头晕	蔡先生一坐公车就头晕
蕉叶都雪到黑晒	芭蕉叶都给冻黑了
荡失咗一个细路	走失了一个小孩
荐个靠得住嘅人畀我喇	给我推荐一个靠得住的人吧
荐高啲枕头	把枕头垫高一点
蔼个苏虾仔瞓	哄小孩睡
蔼吓个苏虾仔	哄一哄婴孩
苹果跌到瘀咗	那些苹果摔得有点烂
萝卜糕蒸得削坺坺	萝卜糕蒸成稀稀烂烂的
蚊叮虫咬冇有怕，有呢种药水就包冇事㗎啦	蚊子叮、虫子咬都不用怕，有这种药水就没事了
蚊零嘢都畀唔起咩？	一元多一点点都出不起吗？
蛇咗去隔篱	跑到隔壁躲懒
蚀晒喇	全亏损了
螺旋桨转得好衡	螺旋桨转得很快
蜡纸嘅穿窿好大	蜡纸上破了个洞很大
行一阵间就到	走一会儿就到
行到咁癐，坐低唞啖气喇	走得那么累，坐下喘喘气吧
行到我癐晒	走得我累了
行到脚都癐咯	走得腿都累了
行咗呢一步，连随就要行第二步	走了这一步，接着就要走第二步
行咗几个站，只脚都癐晒	走了几个站，腿都走累了
行啦你！	去你的吧！
行啦，冇人同你讲	走吧，没人跟你说
行埋嚟	走近这儿来
行得路多，两只脚好渊	走路太多，两条腿很酸痛
行快啲啦，费事迟到又畀人闹	走快点儿，免得迟到又挨骂
行快啲喇！	走快点吧！
行快步啦，唔该！	赶快去了吧
行李冇绑实，散咗嘞	行李没打好，散了
行行吓就荡失路	走着走着就迷了路
行街要因住啲冇掣单车撞人	逛街要小心那些没有闸的自行车撞人
行路去唔去到呀？	能不能走路去？
行路去远唔远呀？	要走很远吗？
行路要几耐呀？	走路要多久？
行过笼都未知	走过了头还不知道
行开啦，咪做电灯胆	走开吧，别妨碍人家
行开啲啦，咁衰！	走开点，这么讨厌！
行开啲，咪喺度叽叽趷趷	走开点，别在这里碍手碍脚
行开，咪嚟混吉	走开，别在这儿胡闹
衫烂咗	衣服破了
衫袖要攞番枧㨘多几吓	袖口要拿肥皂多搓几下
衫袖长翻啲先啱	袖子再长点才合适
衰到死呀，呢个人！	坏得很呐，这个人！
衰得你咁关交，噅佢做乜呀！	你下贱得这么厉害，求他干什么！
衰晒，唔见咗锁匙添	糟糕透了，钥匙不见了
衰鬼学生今日又唔嚟嘞	这破学生今天又不来了
衰鬼钟累我迟到	这破钟害得我迟到了
被身边嘅朋友形容得天花龙凤	被身边的朋友形容得天花乱坠
里便有位	里头有位置
里便开紧会	里面正开着会
装入个樽度	装进瓶子里
里头系乜东东呀？	里面都是些什么东西？
褪十步	退十步
褪后啲	退后一点
褛翻件衫啦	披上大衣吧
西片多数都有中文字幕	外国影片大多都会打出中文字幕
西瓜雪过先好食	西瓜冰镇了才好吃
要一个拼盘，例牌嘅，再要半只烧鸭	要一个拼盘，就是一般那么大的，再要半只烤鸭
要一次过交晒成年嘅学费	要一次性交付全年的学费
要企高至睇到	要站起来才看到
要你等咁耐，我真系好唔安乐	要你等那么久，我真是很不安
要佢去做，包你撞板	要他去干，准碰钉子
要佢大佬至治得佢掂	要他哥哥才镇得住他
要使咁多钱，佢都唔叻得去边咋㖞	要花那么多钱，他也聪明不到哪里去啦
要做即刻就喐手啦	要干立刻就动手吧
要儆锡啲，唔好乱掉	小心一点，不要乱扔
要去就快啲去，唔去就咪去	要去就快点儿去，不去就别去
要咁多把鬼咩！	要那么多有什么用！
要唔要消毒支探热针？	体温计需不需要消毒？
要唔要识得英语？	需不需要懂英语？
要埋咁多做乜吖？	还要那么多干什么？
要多少就够喇	要一点儿就够了
要实事求是，唔好生安白造	要实事求是，不要瞎编
要悭俭啲，唔好咁大嘥至得	要省俭一点，不要那么浪费才是
要搅到上差馆咁大剂呀！	事情弄得要上警察局那么严重啊！
要注意啲坏人搏乱呀	要注意坏人浑水摸鱼
要注意灵活性，太梗板亦唔得	要注意灵活性，太死板也不行
要用几多人工先整得好吖？	要用多少工夫才做得好呢？
要畀心机学至得	要用心学才行
要窗口位㗎	要靠窗户的
要自己喐手，唔好成日得把口	要自己动手，不要整天光说不做
要落足功夫至好	要下足功夫才好
要复印几多份呀？	要复印多少份？
要讲团结，唔好嗌交	要讲团结，不要吵架
要讲家境真系一匹布咁长	要说家庭的经济状况真是说来话长
要讲道理吖嘛	要讲道理嘛
要讲道理，咁牛王唔得嘅	要讲道理，这么蛮横是不行的
要识得普通话、广州话同埋英文	需要懂普通话、广州话和英语
要买家俬，最好去多几间家俬铺格吓价	要买家具，最好多走几家家具商店，比比价格
要买嘅仲系要买，唔好咁孤寒	该买的还是要买，别太吝啬了
要买就快啲磅水	要买就快点交钱
要买就快啲买，铺头就嚟闩门嘞	要买就快点儿买，商店快要打烊了
要买就趁手喇	想买就顺便买吧
要买趁手	想买就顺手买
要顾住佢使横手	要小心他请打手
要顾身体，伙食唔好咁悭鸡	要顾身体，伙食不要太节省
要食啲咩至啱呢？	要吃什么才对呢？
要养几个孩子，唔搏点得呀	要养几个孩子，不拼命怎么行啊？
见你咁钟意，就一口价三百啦	看你这么喜欢，就一口说定三百块吧
见你平时粗粗鲁鲁噉，睇唔出你份人都几细心嘅	看你平时粗粗鲁鲁的，看不出你为人也挺细心的
见佢骚叠咭出嚟，就知系大客仔	一看他摆出一大叠信用卡，就可以知道这是个大主顾
见衫系红色嘅	衣服是红色的
觉得好心翳	觉得胸很闷
觉得有啲唔抵	觉得有点不忿
观众睇到一嚿云	观众不知道看到了什么
订位嗰阵记住讲明要坐卡位	订位的时候别忘了说要坐靠墙的座位
订计划要预松啲至好	订计划要留有点余地才行
计你平啲吖	算你便宜点儿吧
计你话点好吖？	依你说怎么好呢？
计划未完全落实，而家只能够见步行步	计划没有完全落实，现在只能走一步看一步
计吓仲有几日？	算算还有多少天？
计吓睇几多钱	算一下，看多少钱
计啱晒	都算对了
计埋呢条数至去瞓	算好了这道题才去睡
计埋条数至瞓	算好这道数学题才睡
计得啱晒	算得全对了
计我睇今年会增产	照我看今年会增产
计我话仲系噉好	依我看还是这样好
计我话你唔去好过去	依我看你不去还好
计我话你都系唔好参加喇	依我说你还是别参加了
计我话你都系留低好	要我说你还是留下好点儿
计正佢唔使出钱嘅	本来他是不必出钱的
计正佢唔应该噉做	按理说他不应该这样做
计起上嚟，要用成万几蚊至得	算起来得花上万把块钱
计起晒条数先行得	要把账全算好了才能走
训练咗三个月，企出嚟都话得系有型有款啦	训练了三个月，站出来也还说得上是有个模样了
记住吖，我交低你啲嘢	记得，我交代你的事情
记住喇！	记住啦！
记住嗰栋楼嘅冧把	记住那幢楼的号码
记住洗咗啲衫呀！	别忘了把衣服洗掉！
记住买多啲菲林，山上嗰啲好贵㗎	记得多买一些胶卷，山上的很贵
记唔记得妈咪同你讲过啲咩嘢？	记不记得妈妈跟你说过什么？
记得啰收据	记住拿收据
记得带挈吓呀	记得关照着点儿
记得用火酒消毒吓探热针嘅头先	记得先用酒精消毒一下体温计末端
记得还翻畀我	记得还给我
记得锁门呀	记得要锁门
记得𢫏被呀	记得盖被子
记翻晒啲嘢啦	记起来了那些事情
记者一个月有几多人工？	记者一个月的工资是多少？
诈假意唔钟意	假装不喜欢
诈假意唔钟意	假装不喜欢
诈假意嘅啫，唔使理佢	闹着玩的，别理他
诈假意睇唔到	假装看不见
诈谛睇唔见	装作看不见
试吓啦，你实会钟意㗎	尝尝看，你会喜欢的
试吓我嘅手势，点样呀？	尝尝我的手艺，怎么样？
试验几次都撞板	试验几次都失败了
话人冇咁大个头唔好戴咁大顶帽，你唔好扮嘢啦，连自己都搅唔掂！	说人没那金刚钻别揽那瓷器活儿，你别装模作样了，连自己也办不到！
话佢一句，佢驳一句，激死人！	说他一句，他顶一句，气死人！
话咁快就返嚟	说话就回来
话咗九点喇，乜你咁论尽㗎	说好了九点钟嘛，干嘛你这样粗心
话晒佢都系你老窦	到底他是你爸
话晒大家都唔见咁多年，好多嘢都已经唔同晒	毕竟大家都没见这么多年，很多事都已经完全不同了
话晒我哋以前系好朋友	毕竟我们以前是好朋友
话晒我哋都系兄弟，我唔会唔帮佢嘅	说到底我们总还是兄弟，我不会不帮他的
话极都系咁，真系激气！	说过多少遍，都还是这样，真气人！
话死佢都唔听	怎么说他还是不听
话畀你听，你唔好反面噃	告诉你也行，你别翻脸啊
话畀我知你未做过！	告诉我你没做过！
话畀我知你要乜嘢	告诉我你要什么
话畀我听	告诉我
话过都唔算数个㖞！	说过也可以不认账的！
话过都唔食垃圾嘢嘞	再也不吃乱七八糟的东西了
话题永远都系呢几样，但好似点讲都唔会厌咁样	话题也总离不开这些，可好像怎么说都不会觉得厌烦
认住呢个唛头至好买	要认准这个牌子才买
认得我吗？	还认得我吗？
认眞啲，唔好求祈做吓就算	认眞一点，不要马虎地干一下就算了
认真唔畀面	真是不给面子
认真啲，唔好求其做吓就算	认真一点，不要马虎地干一下就算了
认真对唔住噃	实在对不起
谈判专家都搅佢唔掂	谈判专家也拿他没办法
请你仔细睇吓	请您仔细过目
请你再讲多一次	请你再说一遍
请你去人事办公室攞张申请表先	请你先到人事办公室拿一张申请表格
请你讲吓大概要订几多先？	请您先谈一下大概要订多少？
请你讲大声啲	??请你说大声一点儿
请你讲慢啲	请你说慢一点儿
请个工人打理细路	请个佣人照顾小孩
请两个散工	雇两个零工
请问你仲记唔记得存折嘅帐号同密码？	请问您还记得存折的帐号和密码吗？
请问你系边位呀？	请问你是哪一位？
请问你呢度有冇屋出租？	请问您这儿有房子出租吗？
请问你几多岁呀？	请问你多大年龄？
请问你几大年纪喇？	请问您多大年纪了？
请问你揾边个呀？	请问你找谁？
请问北京嘅区号系几多呀？	请问北京的区号是多少？
请问吉之岛点行呀？	请问吉之岛怎么走？
请问呢个位有冇人坐呀？	请问这个座位有人吗？
请问呢个系唔系寄挂号信嘅窗口？	请问这是寄挂号信的窗口吗？
请问呢个字点写？	请问这个字怎么写？
请问呢个月台系唔系去广州呀㗎？	请问这是去广州的站台吗？
请问呢个病人系咩事呀？	请问这病人患什么病？
请问呢套时装要几多钱呀？	请问这套时装要多少钱？
请问售票处喺边度呀？	请问售票处在哪里？
请问巴士站喺边度呀？	请问汽车站在哪里？
请问广州到北京一日有几个航班？	请问从广州至北京的航班一天有几班？
请问我系边度搭七路车呀？	请问一下可以在哪儿搭到七路车？
请问有乜可以帮你？	请问有什么可以帮你的？
请问有冇巴士去市区呀？	请问有到市中心的公车吗？
请问李生屋企嘅电话号码系几多？	请问李先生家的电话号码是多少？
请问机场喺边度呀？	请问机场在哪里？
请问由深圳到珠海一日有几多班车呀？	请问从深圳到珠海一天有几趟车？
请问票系几钱一张呀？	请问多少钱一张票？
请问贵庚呀？	请问您多大年纪了？
请问边一架巴士去佐敦地铁站呀？	请问哪路车到佐敦地铁站？
请问边度有游戏机买呀？	请问哪里可以买游戏机？
请问点样凭汇款单攞钱？	请问如何凭汇款单取钱？
请问，呢个几多钱？	请问，这个多少钱？
请问，呢度有冇屋租呀？	请问，这里有房子租吗？
请喺呢度停车	请停在这儿
请喺呢度等我	请在这里等我
请喺呢度签名	请在这里签字
请埋席喇，咁多位	这里的各位，都请入席吧
请大家坐低	请大家坐下
请大家埋位	请大家入席
请帮我将一千蚊美金换成人民币	请替我把一千元美元兑换成人民币
请等阵，我即刻同你接通	请稍等，我这就给你接通
请赐教为何宝号，系边度可以揾到呢？	请赐教是哪一家字号，在哪里可以找到呢？
请都唔嚟，咁唔畀面！	请都不来，这么不给面子！
谂吓第二啲嘢	想想别的事情
谂多几日先	先多考虑几天
谂真吓先	先想清楚再说
谂紧乜嘢呀？	在想什么？
谂通咗自然就明㗎啦	想通了自然就会明白
谂都唔使谂！	你别作梦！
諵日去一趟	隔天去一次
讲乜嘢？	说什么？
讲件事你知	告诉你件事
讲你唔掂	说服不了你
讲你就岌头岌髻，等一阵间又唔记得咯	说你就点头点脑，一会儿又忘记了
讲你都唔识喇	就算说了你也不认识啊
讲佢两句就燶起块面	说他两句就黑起脸来
讲到佢掂喇	说得他服了
讲到尾，你仲系唔去好	说到底，你还是不去为好
讲到话佢呢，唔使理都得咯	至于他，不必管也可以了
讲到话呢件事，我系唔同意嘅	至于这件事，我是不同意的
讲到读书，我哋班嘅一哥梗系你喇	说到读书，我们班最出色的就是你了
讲到读书，我地班嘅一哥梗系你喇	说到读书，我们班最出色的就是你了
讲到钱银啲嘢，好容易伤感情	说到钱的事，很容意伤害感情
讲句公道说话，你话我做得啱唔啱呀？	说句公道话，你说我做得对不对？
讲句话都唔讲得掂	说句话都说不清楚
讲咁多做咩	说那么多话干嘛
讲咁多做咩？	说那么多话干嘛？
讲咗佢一轮	说了他一通
讲咗半日都唔知佢讲乜东东	说了半天也不知他说什么
讲嘅说话又几抵死	说的话倒挺风趣，说的话倒挺绝的
讲嘢唔使负责任嘅风气	说话不必负责的风气
讲嘢唔好咁粗口烂舌	说话别那么粗俗
讲嘢唔好咁长气	说话别那么啰唆
讲嚟听吓	说来听听
讲埋啲噉嘅嘢，唔怕人骨痹	尽说这些东西，不怕人家听着肉麻
讲埋啲噉嘅嘢，唔怕人骨痹	尽说这些东西，不怕人家听着肉麻
讲定㗎喇，讲话唔算数唔得㗎	说好了，不许说话不算数
讲定先，去还去，我唔做嘢㗎	先说好，去就去，我可不干活
讲实几多钱一斤	说好多少钱一斤
讲实几时完成就几时完成	说好什么时候完成就什么完成
讲少句吖	少说一句吧
讲得啱	说的没错
讲得啱，又系嘅	说得对，这倒也是
讲得啱，噉又系	说得对，这倒也是
讲心嗰句，我唔赞成你去	说实在的，我不赞成你去
讲心嗰句，我好挂住你	说真心话，我很想念你
讲心嗰句，我真系唔钟意嗰班人	说实在的，我真的不喜欢那些人
讲掂晒	讲妥了
讲极佢都唔明	怎么讲解他都不明白
讲极佢都唔听，真系唔化	说破嘴唇他都不听，真固执
讲极都冇用	怎么说也没有用
讲畀我听你喺边呀？	告诉我你在哪里？
讲真你自已都唔叻得去边啦，有乜资格笑人哋呀	说实话你自己也聪明不到哪里去，有什么资格笑别人呢？
讲真，其实我都觉真系有啲扫兴嘅	说实话，其实我也觉得真的有点扫兴呢
讲笑㗎嘛？	开玩笑的吧？
讲粗口，岂有此理？	说粗话，岂有此理？
讲翻正经呀	我们继续讨论吧
讲翻正经呀	我们言归正传
讲自己的遭遇都一匹布咁长喇！	说自己的遭遇也说来话长！
讲亲呢件事，就嬲到连饭都唔食	每谈到那件事，就气得连饭都不吃
讲话吃口吃舌，一啲都唔清楚	说话结结巴巴，一点也不清楚
讲话唔好咁作状	说话别那么装腔作势
讲话唔好咁谮气	说话别那么囉唆
讲话喽口嗰个人你识嘅咩？	说话口吃的那个人你认识的吗？
讲话时口水溦飞晒出嚟	说话时唾沫星子全喷了出来
讲起佢，唔知几多林沉嘢	说起他，不三不四的事不知多少
讲起又讲吖，系佢唔啱嘅	依我说，是他的不对
讲起揾工就真系扯晒火	说起找工作就真的冒火了
讲鬼咩！	还说什么！
讲？明知道讲出嚟实炒大镬	说？明明知道说出来一定会闹翻天
识到你系我嘅福气	能认识你是我的福气
识咗佢两个礼拜咋	认识他仅仅两个星期
识啲普通话	会一点普通话
识穿敌人嘅阴谋	识破敌人的阴谋
识边度就打个剔喇	什么地方会了就打个勾儿吧
警方根据线报破获一个犯毒集团	警方根据内线情报捣破了一个犯毒集团
读嚟听吓啰	念出来听听
读完之后，你揿呢个啰	看完以后，你按这里
读小学嗰阵我好钟意画画	上小学的那会儿，我很爱画画儿
读书你就唔及得佢喇	读书你就赶不上他了
读过两年㩧㩧斋	念了两年的私塾
豁一声，饮咗一啖水	咕嘟一声，喝了一口水
豁咗一啖水	喝了一口水
豁豁声，快啲饮晒佢！	快点儿大口喝完它！
豆住个箱底	托着箱底
豆住个袋	托着口袋
豆啲嚟	拿一点来
豆腐咁腍	豆腐那样软
豆高张台	把桌子抬高
贡入被窦	钻进被窝里
货一到连随就车去畀你，嚟得切嘅	货一到跟着就给你运去，来得及的
货卖晒啦	货全卖完了
贪佢又有钱又靓仔	贪图他又有钱又标致
贪口爽乱咁噏	图嘴快乱说一气
贪平可能买流嘢	贪便宜可能会买了假货
贵系贵啲，不过人工靓	贵是贵了点，不过工艺精美
贵公司嘅报价几多日之内有效呢？	贵公司大的报价几天内有效？
贵宝号呀？	什么字号？
买一斤畀佢呃咗二两秤	买一斤短了二两
买一毫子飞嘅坐晒！	买一毛钱票的坐完了！
买两斤提子	买两斤葡萄
买到未呀？	买到了没有？
买到靓嘢	买到了好东西
买包沙虫翻去喂金鱼	买一包蚊子幼虫去喂金鱼儿
